"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"UKM00003772","HEATHROW, UK","2021-01-16","0.02",,"41",,"31"
"UKM00003772","HEATHROW, UK","2021-01-17","0.21",,"41",,
"UKM00003772","HEATHROW, UK","2021-01-18","0.00",,"41",,"33"
"UKM00003772","HEATHROW, UK","2021-01-19","0.08",,"51","54","44"
"UKM00003772","HEATHROW, UK","2021-01-20","0.02",,"50",,
"UKM00003772","HEATHROW, UK","2021-01-21","0.25",,"43","47",
"UKM00003772","HEATHROW, UK","2021-01-22","0.00",,"39",,"31"
"UKM00003772","HEATHROW, UK","2021-01-23","0.05",,"35",,
"UKM00003772","HEATHROW, UK","2021-01-24","0.00","0.8","32",,"26"
"UKM00003772","HEATHROW, UK","2021-01-25","0.10","0.8","34",,
"UKM00003772","HEATHROW, UK","2021-01-26","0.01","0.4","36",,"27"
"UKM00003772","HEATHROW, UK","2021-01-27","0.08",,"47",,"41"
"UKM00003772","HEATHROW, UK","2021-01-28","0.80",,"51",,"47"
"UKM00003772","HEATHROW, UK","2021-01-29","0.21",,"49",,
"UKM00003772","HEATHROW, UK","2021-01-30","0.42",,"41",,
"UKM00003772","HEATHROW, UK","2021-01-31","0.38",,"36",,
"UKM00003772","HEATHROW, UK","2021-02-01","0.06",,"38",,"36"
"UKM00003772","HEATHROW, UK","2021-02-02","0.17",,"49",,"38"
"UKM00003772","HEATHROW, UK","2021-02-03","0.05",,"47",,
"UKM00003772","HEATHROW, UK","2021-02-04","0.01",,"43",,
